Title,Author
World should back China’s Mars mission. Mankind can only benefit from peaceful competition to extend and deepen our knowledge of the universe. It is no place for space wars.,SCMP Editorial
"Ant Group’s plan for listing shows the US is not the only option. Dual-listing in China is entirely doable and relatively painless, a far more attractive prospect than being exposed to hostile regulators and politicians in America.",SCMP Editorial
"Is China the West’s Frankenstein’s monster?. American politicians, now on a new anti-communist crusade, may not like the ending of the story",Alex Lo
"How Hong Kong courts resolve tension between national security law and Basic Law will determine the city’s future. The Hong Kong judiciary is being called upon to calibrate the ‘one country, two systems’ formula so that it comfortably accommodates Hong Kong cultural values with national aspirations.",Henry Litton
"Coronavirus crisis puts ‘immune systems’ of market and state capitalism to the test. While the US economy is predicted to contract 8 per cent this year, China’s GDP is expected to grow slightly. Governments around the world should take their cue from China and boost investment in infrastructure.",Anthony Rowley
"By painting its contest with China as a ‘good versus evil’ struggle, the US misses the mark. A recently released study revealing that Chinese citizens’ satisfaction with their government has increased since 2003 sits awkwardly against the US picture of China as a tyrannical state.",David Dodwell
Pandemic produces an environmental cost. Measures to battle the coronavirus have led to a surge in the dumping of single-use cutlery and food containers as well as used face masks.,SCMP Editorial
"Fishing ban the best place to start to bring life back to the Yangtze. With fish and bird species in the river’s downstream reaches in decline and food security threatened since the building of the Three Gorges Dam, authorities have rightly stepped in and curtailed human activity.",SCMP Editorial
"Massive EU deal the price of unity. Compromise over hundreds of billions of euros needed for recovery plan may be far from perfect, but it is critical to regional and even world stability.",SCMP Editorial
"For all our sakes, put on that mask and follow health advice. As daily Covid-19 infections in Hong Kong again hit triple digits, those who ignore rules to wear face coverings must be subject to tougher enforcement action.",SCMP Editorial
Hong Kong elections: the shameful absence of women from politics. Global evidence reveals women have shown political leadership by working across party lines even in the most combative environments. Every political actor contributes to the chronic underrepresentation of women in the halls of power in this city.,Alice Wu
"Legco election: what choices do moderate Hong Kong voters have in September?. Broadly speaking, only non-destructive opposition politicians and a revamped DAB will appeal to moderate voters. The elections should go ahead in September, despite Covid-19. If other communities can do it, why not Hong Kong?",Mike Rowse
"Why China must beware a less confident US, politically divided and pessimistic about its future. While American overconfidence after the Cold War led to the deadly war in Afghanistan, the US’ lack of assurance is fuelling its campaign to suppress China.",Zhou Bo
Why Beijing didn’t shut down US consulate in Hong Kong. Targeting US mission in the city would be a major escalation while China prefers to show restraint and not play into the hands of an increasingly hostile Washington,Alex Lo
"If a racist attack happens in a supermarket, what should the staff do?. Asian shoppers are reported to have been racially targeted at Australian supermarkets, even as racism complaints increase in the country after the onset of Covid-19. What responsibility do retail companies have for protecting customers from racism?",Suraj Girijashanker
"Why the struggle for same-sex marriage in China will continue, despite civil code setback. The primacy of heterosexual marriage in Chinese society means that there are negative social and economic consequences to remaining unwed. Coping strategies range from lesbian women and gay men marrying each other to couples tying the knot outside China or unofficially via an app.",Lucetta Kam
"How Hong Kong, divided by protests, can unite Yellowland and Blueland. True reconciliation is an urgent task, especially because many of the alienated in Hong Kong society are our own younger generation. Problems can be solved when we are willing to put aside our differences and embrace the values of pragmatism and common sense.",Rachel Cartland
"Anti-China rhetoric is not just US election bluster this time around. Experience has taught Chinese leaders not to take statements made about China during US elections too seriously. However, this time, the window of opportunity to reset relations after the elections will be narrower and the differences wider.",Robert Lawrence Kuhn
"Earnings season will tell if stock market optimism is justified. Most market watchers predict a drop and bounce-back in profits sharp enough to be called V-shaped. If they are right, the reporting of second-quarter company earnings now under way should reflect a turning point in global profits downturn.",Patrik Schowitz
"China-India relations: Ladakh stand-off need not be a prelude to war. If these nuclear states and rivals want to manage, stabilise and eventually transcend the security dilemma, they must incrementally build trust. Greater appreciation of the fears of one’s adversary paves the way for deeper dialogue and a trusting relationship, though this needs a delicate balancing act.",Ameya Pratap Singh
"Coronavirus has dealt class of 2020 a bad hand, but China’s class of ’77 offers an encouraging lesson. While graduating in a recession year can hit earnings and career prospects, life eventually rights itself, as the experience of the first batch of Chinese university students who graduated after the Cultural Revolution shows.",David Dodwell
"Hackers tweet serious warning to the world. Compromising the online accounts of the rich and famous is one thing, but trying to influence an election or even starting a war is quite another.",SCMP Editorial
"US and China should strengthen diplomatic links, not break them. Beijing has threatened to retaliate following the ordered closure of its consulate in Houston as the two nations raise tensions in a world that can ill-afford a new Cold War.",SCMP Editorial
"Who’s the brain behind Mike Pompeo’s anti-China stance?. His principal policy and planning adviser on China, Miles Maochun Yu, harbours some pretty dark thoughts about China and Asia-Pacific.",Alex Lo
"Covid-19 is making millions of domestic workers more vulnerable. Tech can help. As Covid-19 spurs policy shifts, governments have a rare opportunity to recalibrate policies and better understand the obstacles facing migrant domestic workers. Some apps are trying to prevent harmful working conditions in the first place.",Sophie Zinser
"Why Britain’s citizenship offer is a favour to Hong Kong – and China. Hongkongers have in the past sought foreign citizenship as an insurance policy. The UK’s offer to almost half of Hong Kong is unlikely to give rise to a wave of migration. Conversely, it makes people more willing to stay in Hong Kong.",Albert Cheng
"Closure of China’s Houston consulate shows danger of desperate US behaviour. Given the sharp decline in US-China diplomacy, the positive energy of the relationship’s early days has been replaced by petty bickering and recriminations. The brazen disrespect of science and international law by the Trump administration is akin to insisting American exceptionalism be respected at the risk of endangering public health.",Philip J. Cunningham
"EU’s Covid-19 recovery deal is a cause for celebration, but check the fine print. Market enthusiasm over the stimulus plan comes at a time economies in Europe seem to be reopening more successfully than the US. But the EU’s recovery fund, while a step towards fiscal integration, raises more questions than it answers.",Nicholas Spiro
"Britain, the new vassal state of the United States. Post-Brexit, the UK will have no support from the European Union as a middle power while China, once its best trading prospect, has become an adversary.",Alex Lo
"Our greatest enemies at this time are panic and complacency. As the crisis in Hong Kong hospitals grows with the rise of Covid-19 infections in the community, tests on urgent cases must come before people showing no symptoms.",SCMP Editorial
Hong Kong students pass their hardest test. Each one of those who sat the university entrance exams deserve to be congratulated after overcoming the challenges of social unrest and a health crisis.,SCMP Editorial
Coronavirus response: Working from home forces firms to evolve practices. Working from home has its challenges but could also bring an end to outdated attitudes at firms that still equate time in the office with productivity.,Richard Harris
"Donald Trump’s ending of the Fulbright programme in Hong Kong and China damages US soft power. The programme is one of the more successful examples of US cultural diplomacy. While Beijing’s threat to Hong Kong is serious, the US has maintained its Fulbright programmes with other countries it sees as adversaries.",Scott Laderman
"Carrie Lam’s policy pivot is too little, too late to heal Hong Kong. The chief executive’s acknowledgement that political impasse lies at the root of Hong Kong’s many problems is startling for stating the obvious. While some may welcome her U-turn, it’s hard to see how she can make peace with the opposition in the wake of the national security law.",Michael Chugani
"Will the European Union’s US$2 trillion trillion deal herald a new era of solidarity?. The package is distinguished not only by its size and the long drawn-out negotiations that led up to it, but also by its commitment to mutualised debt that paves the way for greater, future EU supranational powers.",Andrew Hammond
"Wounds from Yuen Long station attacks are yet to heal. One year on from assaults on innocent train passengers at height of Hong Kong unrest, questions remain about those responsible and why they have not been brought to justice.",SCMP Editorial
"The need remains for foreign judges with national security law  . As the Beijing-imposed legislation continues to raise concern among local and overseas legal communities, it is essential Hong Kong’s judiciary keeps its top international talent.",SCMP Editorial
"TikTok is the new Chinese threat to US national security. The way some American politicians describe the harmless social app, you would think it’s more dangerous than Huawei, the 5G networks supplier, and nuclear weapons",Alex Lo
"Why the risk of a US-China hot war is small despite heated talk. Bilateral ties are closer than the US and Soviet relations were during the Cold War, the ideological confrontation less intense, and decoupling, while painful, buys a modicum of peace and security.",Cui Lei
"Why US travel ban on China’s Communist Party members is a misguided idea. It would be a mistake for the United States to think it can separate the Chinese government from the Chinese people, or the party and the Chinese people. If the US truly wants the Chinese people to succeed, it should stop undermining the Chinese government as only it can help them be successful.",Zhengxu Wang
"Polls need to signal new chapter for Hong Kong’s Legislative Council. As another unedifying term comes to a close for the Hong Kong legislature, concerted efforts are required from all for the sake of governance and political development.",SCMP Editorial
"No measure too small in struggle to turn back tide of infection. As the number of Covid-19 cases grows and Hong Kong leader warns of further peril in the winter, now is the time for a comprehensive, proactive anti-pandemic strategy.",SCMP Editorial
"Living with coronavirus: We can forget about a quick return to normal. We might need to live with mask wearing and social distancing for several years. For Hong Kong, the authorities could greatly expand outdoor dining, stagger office hours, have more work-from-home periods and fewer air-conditioned interiors.",Martin Williams
Why it’s misleading to call US-China rivalry the new cold war. Most Chinese today don’t suffer from the same repression and material deprivation of those who lived in the Soviet Union; some may even think they will win in their country’s confrontation with the West,Alex Lo
"US-China rivalry: How companies can adjust to geopolitical shift as decoupling accelerates. Companies can count on the rules and dispute resolution mechanisms of free-trade agreements, take advantage of western funding agencies such as the DFC and seek global forums such as Apec to keep conversations going.","James Carouso,Penny Tucker"
"What if Donald Trump is a one-term president? Why three trade issues can wait. America’s trade partners are closely watching the November presidential election. Whether it is the WTO, China or carmakers, decision makers could be preparing for the possibility that the Trump administration will be voted out.",Stephen Olson
"Hong Kong elections: opposition must be realistic and not just oppose Beijing. Hong Kong democrats still think in terms of opposition and resistance after 23 years in the minority, something the government has fostered by not sharing power. If they do win a majority, they should provide policy alternatives that would improve the social and economic welfare of the people, not just pick fights.",Frank Ching
Trump’s Hong Kong Autonomy Act will only push city closer to mainland China. Washington’s moves in response to the passage of the national security law will weaken Hong Kong’s economic ties to the US and create a gap China will fill.,Neal Kimberley
"For US-China relations to improve, diplomats have to step back from Twitter. The finessed language of diplomacy has given way to hashtags and zingers between US State Department hawks and China’s ‘wolf warriors’. But diplomacy rarely succeeds when executed over a microphone.",Chi Wang
"India could lead a middle-power response to China in the Asia-Pacific. The recent border stand-off has prompted India to rethink its policy on China. As the US proves to be an unpredictable ally, India must speak up for other Asia-Pacific nations while eschewing the trade protectionism that has curtailed its influence.",Mohamed Zeeshan
"Donald Trump is picking the wrong fights in his re-election campaign. As the economic devastation caused by the pandemic deepens, Americans are more concerned for their survival than the stock market gains Trump touts. They are also in no mood for the economic costs of a US-China decoupling.",Robert Delaney
"Coronavirus recovery: Unemployment crisis calls for new policy focus. In a world of rising unemployment, governments must focus on job creation initiatives and look out for workers’ rights when firms attempt to put profits above people.",David Brown
"Why the coronavirus pandemic will turbocharge investment in data centres. The turn to digital infrastructure during the Covid-19 pandemic has boosted the existing boom in investor interest in data centres. Given that data centres are capital-intensive and require significant technical expertise, investors could consider investing directly in the operating company itself",Nicholas Spiro
"Judiciary must do all that it can to educate. After thousands of complaints were filed against at least three magistrates over their handling of cases related to anti-government protests, the move to publish some on online along with the judiciary’s response is welcomed.",SCMP Editorial
Boris Johnson may still be trying to be flexible over Huawei ban. Britain’s policy U-turn to ban gear supplied by the Chinese telecoms giant from its 5G networks meets the demands of an insistent Washington.,SCMP Editorial
"Beijing enjoys greater legitimacy than any Western state. You are free to hate and despise China all you want, but if you think it will collapse by its own weight because its government lacks legitimacy or popular support, you will always be surprised and never understand your enemy",Alex Lo
"The maths behind Britain’s Huawei U-turn and pivot to the Indo-Pacific. There is an upside for Britain in working more closely with its traditional allies – the US, Australia and Japan – in the region. Free-trade agreements with all three countries all hang in the balance.",Sam Olsen
"Under Trump, US narrative of the China threat is simply false. China’s pattern of behaviour and priorities have been largely consistent since 1978, even if the pace of its opening up is not to the West’s liking. While Beijing has become more assertive internationally, the true system-breaker has been Washington.",David Dodwell
A home-cooked meal has many advantages. ,SCMP Editorial
"Dialogue is urgently needed to avoid the crossing of red lines. With an increasing risk of military conflict in the South China Sea between China and the United States, there is every need for a diplomatic solution, no matter how remote that may appear",SCMP Editorial
"More confrontation looms on Hong Kong horizon. The pro-democrats’ primary saw the defeat of prominent veterans by more radical youngsters, leaving the way open for the Beijing and city governments to act tougher.",SCMP Editorial
"Relationships should be repaired in name of economic recovery. China’s unexpected growth figures are positive for the world and, although there are many thorny issues to resolve with the West, stress why there is need to find common ground.",SCMP Editorial
"Fear of Hong Kong security law spreads in Vancouver, but some dare wave the black flags of ‘revolution’. Canadian protesters worry they will be arrested if they return to Hong Kong. Some go to great lengths to conceal their identities from authorities and keep their activities secret from family members.",Ian Young
Dark times ahead for Hong Kong legislature. People in the city now face the choice of a paralysed legislature or a discredited one.,Alex Lo
"ESG investing: How markets are going the wrong way to save the planet. Worthy as its basic aims are, ESG fails to offer direct routes for private investors to fund critical projects at scale. The participation of governments and multilateral development agencies, for example, is needed, to provide a pipeline of projects and markets to help finance them.",Anthony Rowley
"China’s bold makeover of its capital markets a step in the right direction. Proposals include allowing banks to underwrite securities, consolidating the fragmented brokerage sector, and letting insurers trade in T-bond futures – a sign that Beijing is turbocharging its financial reforms.",Joel A. Gallo
US’ tougher stance on the South China Sea is part of Trump’s re-election campaign. Trump’s team is using China as one of its lines of attack against the president’s opponent Joe Biden while capitalising on the growing realisation in the Asia-Pacific region that China’s expansionist plans must be countered.,Brian P. Klein
"Hong Kong’s class of 2020, bracing for DSE results, is well placed to brave pandemic-ravaged world. This year’s school leavers started the academic year during the height of the protests and ended it amid the Covid-19 outbreak. The times have bequeathed them the ingredients to foster fortitude and compassion and to see the world with clarity.",Alice Wu
"Uncertainty over national security law is pushing Hong Kong people to leave. Most Hongkongers can agree on a need for a national security law. But the law should also consider Hongkongers’ concerns and fears, or it could cause an exodus of talent.",Peter G. de Krassel
"Are coronavirus lockdowns justified given the health, economic and social costs?. While billions are being pumped into Covid-19 vaccine research, diseases such as tuberculosis and malaria continue to have high mortality rates. Perhaps, Covid-19 is attracting attention because it largely affects old people in rich countries.",Philip Bowring
"It’s too early to count Hong Kong out just yet. Despite US actions against the city, it is arguable that it will remain a financial hub with its own legal system and will continue to play an important global role.",SCMP Editorial
"Now China must rise to floods challenge after Covid-19 fight . Economically and politically, the country – especially the initial coronavirus epicentre of Wuhan and Hubei province – can ill afford another heavy blow.",SCMP Editorial
Why China’s A-share market is starting to look like a safe haven. China’s economic recovery is on track and policies are cautiously supportive. US tensions and tariff risks remain but China’s containment of resurgent infections lends its stock market characteristics of a relative safe haven.,Sylvia Sheng
"US plays dangerous game with no end goal. What is perhaps most damaging is that America wants to drag its allies and friends into its fight with China, without defining or understanding what it is they want",Alex Lo
"Why America’s pandemic carnage is a tragedy of global proportions. An America reeling from the emotional trauma of a mismanaged pandemic is incapable of rational policy. When the world’s leading economy and military power feels vulnerable and insecure, there can be no global peace.",Andrew Sheng
"Amid the rush to condemn the national security law, let’s count the freedoms Hong Kong still has. The evidence that Hong Kong’s freedoms have been suppressed is poor. An honest position should be to acknowledge that a security law is needed, and emphasise that Hong Kong’s future depends on Beijing’s respect for its high degree of autonomy.",David Dodwell
"Coronavirus third wave: Group testing can address Hong Kong’s limited capacity. Hong Kong currently has a quarter to a fifth of the capacity it needs to handle Covid-19, and testing the entire population is prohibitively expensive. Emulating the group testing approach taken in Germany, Israel and the mainland can help make more efficient use of the city’s resources.",Daniel Z. Long
"National security law: Hong Kong’s librarians must stand firm to protect intellectual freedom. As the authorities increasingly give in to the urge to censor books, librarians should remain guided by their commitment to uphold the freedom of enquiry. Films and artworks that depict ways to evade the censors offer inspiration.",Daniel C. Tsang
"Coronavirus recovery: hedging and market volatility show flaws in bullish narrative. While equity markets hail a rebound in economic activity and tech sector resilience, bond markets fear a severe Covid-19 shock driven by a spike in infections. If markets were really confident about the strength of the rise in economic activity, investors would not be hedging so aggressively against further turmoil.",Nicholas Spiro
"Shame on Trump for using international students as political pawns. The Trump administration’s aborted visa rule change, which threatened deportation for foreign students in the US, was political and desperate. Kudos to the US universities and companies who stood up and fought to right a wrong",Bernard Chan
"Coronavirus action now will save greater pain later. As the number of local Covid-19 infections in Hong Kong rises again, the government and public must work together to bring the situation under control.",SCMP Editorial
"Both US and China stand to lose if Hong Kong is badly damaged. Punitive American measures in response to Beijing’s national security law will not spell the end of the city, but both sides have to think carefully before their next move.",SCMP Editorial
"How to weaponise Hong Kong against China. The opposition have got more than they bargained for, now that US President Donald Trump has stripped the city of its special trade status to treat it the same as the mainland.",Alex Lo
"Hong Kong national security law: New institutions show China’s true intent. The new law devotes a great deal of attention to setting up special institutions and procedures for handling cases deemed to involve national security. Assurances over constraints on these institutions are weakened by the central government’s treatment of Gui Minhai, Pu Zhiqiang and others politically disfavoured by Beijing.",Donald Clarke
"How the US Federal Reserve created a financial opioid crisis in the West. By targeting asset prices to bolster the economy, the Federal Reserve is again creating an asset bubble. The US central bank’s loose monetary policy, more than China, is really to blame for the US’ troubles now.",Andy Xie
"The US is finally taking sides in the South China Sea – against Beijing’s claims. By aligning the US more closely with the tribunal’s finding in 2016, Pompeo effectively states the nine-dash line has ‘no basis in international law’. While he was careful not to say whether Washington favoured one claimant over another, the US finally appears to be taking a side – against China.",Christian Le Miere
"Carrie Lam warns against constitutional coup. The good news for the opposition is that the government may be preparing for their majority in the new legislature for the first time in Hong Kong history; the bad news is that if they try to exploit Article 52 of the Basic Law to get rid of her, she will retaliate with the national security law.",Alex Lo
Hong Kong care homes for elderly have to follow the rules. The cluster of Covid-19 infections at a Kowloon facility housing some of society’s most vulnerable members underlines why safety guidelines must be mandatory.,SCMP Editorial
"Pan-democrats face uphill fight despite Hong Kong primary turnout. Stakes may have been raised with more than 610,000 people making their choice ahead of September’s elections, but considerable challenges lie ahead for the opposition camp as it seeks a Legislative Council majority.",SCMP Editorial
"If the US wants to be a human rights beacon, it has to hold itself to a higher standard. Criticism of the US human rights record has grown and, while it is nowhere as dismal as in countries like China or North Korea, if America is to represent a higher standard, it should behave as though it does and reform where it does not.",Rob York
"Trump’s student visa rules have been rescinded, but the damage is done. Cultural exchange has long been a core element of US diplomacy, and the business of educating the world is big business. The ill-conceived policy ploy to deport students, though reversed, still puts a serious dent in the US’ reputation as a desirable place to study.",Philip J. Cunningham
"Why Asia’s rapidly growing bond markets are still vulnerable to financial stress. Asian bond markets have grown massively since the 1997 currency crisis but remain dominated by government bonds and, while attracting huge foreign investor interest, also create capital flight vulnerabilities","Ramkishen S. Rajan,Sasidaran Gopalan"
"Zero interest rates, heavy debt will be new normal in coronavirus recovery. The lessons learned from the 2008 global financial crisis suggest shutting off the liquidity tap could prove more challenging than opening it. Ultra-accommodative monetary policy is here to stay, with central banks also engaging in riskier asset purchases and even negative interest rates.",Aidan Yao
"Hong Kong coronavirus third wave can be tamed by mass testing – with China’s help. The local government has resorted to its old, small policy toolkit of social distancing, travel bans and dissuasion. Given the constraints on Hong Kong’s ability to test its population, it is perhaps a good idea to seek help from the mainland, which has excess capacity.",Alex He Jingwei
"Under national security law, Hong Kong can be pro-democracy without being anti-China. Speculation about the impact of the law must give way to a democratic agenda crafted for these post-security law times. Democratic development will benefit not just Hong Kong, but also help it fulfil its role as China’s international city.",Kerry Kennedy
Latest rules have to be respected if virus infections are to fall in Hong Kong. The tightening of social-distancing measures by the government is to be welcomed as Hong Kong reaches tipping point and Covid-19 cases mount.,SCMP Editorial
"Singapore election a vote for stability. The city state’s ruling party has weathered a crisis poll, now it must work with the opposition to confront challenges, contribute to region’s growth and ensure balanced ties with China and the US",SCMP Editorial
"Opposition ‘primary’ signals internal conflict. Despite large turnouts, ‘loser’ candidates, especially those with a long track record as lawmakers, are unlikely to accept the results in favour of radicals who face disqualification anyway",Alex Lo
"National security law’s grey lines blur Hong Kong’s future as a global financial centre. If Hong Kong is to be more than China’s offshore financial market, it must retain its free press, independent judiciary and honest civil service.",Mark Clifford
Attacking Hong Kong dollar peg would hurt those the US hopes to help. Washington should bin such proposals as the people of Hong Kong stand to lose the most from undermining the Linked Rate Exchange System. Pursuing them in an attempt to punish China risks immediate damage to US international standing as well as introducing more risks into the global economy.,Neal Kimberley
"With new student visa rule, Donald Trump is making America small again. International students at US universities are a core arsenal of American soft power. By closing its doors, the Trump administration undermines America’s stature as a responsible stakeholder in global affairs.",Tom Plate
"On Covid-19, India’s Narendra Modi is no Donald Trump or Jair Bolsonaro, but the country’s coronavirus outlook is grim. India’s prime minister imposed one of the strictest lockdowns in the world on his country, but a few weeks or even months was never going to make up for health-sector upgrades that should have taken place years earlier.",Rukmini S
"Hong Kong third wave: Public needs to step up and keep coronavirus at bay. One major reason the Hong Kong approach to managing Covid-19 has succeeded so far is the public’s responsible behaviour during the pandemic. Hongkongers must do their part in handling this third wave by returning to social distancing, staying home and maintaining good hygiene.",Manimala Dharmangadan
"Expecting Asia-Pacific commercial property prices to drop significantly? Don’t hold your breath. Although the drop in prices has been negligible, Asian commercial property still offers investors attractive returns compared with other asset classes.",Nicholas Spiro
"Joe Biden, not Donald Trump, is the US president the world economy needs now. Trump’s business-friendly tax bonanza has come at a cost and the US’ deteriorating economic fundamentals are in need of repair. Democrat presidents are usually written off as tax-and-spenders but recent experience suggests otherwise.",David Brown
"Like coronavirus fight, time for Hong Kong to adapt to national security law. The freedoms that are perceived as having been lost are gone and are most likely not coming back under the present regime. Getting on with our lives and doing what we can to stay safe is the price of being a Hongkonger in these challenging times.",Peter Kammerer
"Chinese students should not be caught in crossfire. The Trump administration, without warning, wants to expel those whose courses will be taught online only due to Covid-19",SCMP Editorial
Foreign internet firms in a bind over ambiguous security law. The legislation’s unclear language and broad provisions make for uncertainty about what constitutes a violation,SCMP Editorial
"Is China the ‘greatest threat’ to the United States?. Americans, Washington is a far greater threat to your own health and life, your wallet and your children’s future than anything we Chinese can do to you",Alex Lo
"How the coronavirus is turbocharging Hong Kong’s fintech revolution. Forced to adapt quickly, Hong Kong’s banking and financial services industry has hastened its adoption of digital transformation and AI in the name of survival, supported by a rapidly evolving regulatory environment.",Andy Chun
Society will benefit from cash handout. ,SCMP Editorial
National security law’s new powers and sanctions must be used with caution. ,SCMP Editorial
"In battle for WTO leadership, the real fight is against paralysis of the global trade system. In the face of US-China tensions, Trump’s ‘America First’ unilateralism and the economic maelstrom whipped up by Covid-19, the WTO’s new leader will be challenged to lead the charge in championing the benefits of multilateralism and free trade.",David Dodwell
"What does the future hold for Future Fund?. In bailing out Cathay Pacific, the government played hard and fast by announcing billions would be taken from its Land Fund, which was in fact empty after all its assets were transferred to a more aggressive investment fund",Alex Lo
Fair education must be the right of all. ,SCMP Editorial
City should stand as one in face of third coronavirus wave. ,SCMP Editorial
