Title,Summary
"US-China trade war update: how the NBA, Xinjiang bans and Hong Kong are affecting trade talks","We unpack a turbulent week in US-China relations, as trade negotiations commence, with the threat of increased tariffs on the horizon and a list of US companies China might retaliate against if a deal is not reached."
"US-China trade war update: China’s man in Washington, talk of ‘Cold War’ in Hong Kong, Pillsbury talks ‘consequences’ for no deal",What it’s means for Beijing’s advance negotiator to visit US farms and analysing comments about a ‘Cold War’ and its ‘consequences’ from Trump’s ‘China expert’ during his visit to Hong Kong for the American Chamber of Commerce.
"Behind the Tariffs: Trucks, trade services and Hong Kong’s trade war conundrum",How Hong Kong’s logistics and service economy is being battered by the effects of the US-China trade war
The Adventure Trail: Leung Ying-suet talks trail running in Hong Kong and Portugal for her World Trail Championship mission,"One of Hong Kong’s most accomplished trail runners talks of her preparations for the 2019 ITSA Trail World Championships, and how the climate and geography of her home have helped her build fitness and stamina."
The Adventure Trail: Paul Niel and his Hong Kong coastal clean-up,The adventurer and coasteering enthusiast talks about the upcoming Adventure Clean Up challenge
The Adventure Trail: Hong Kong trail running legend Andre Blumberg ,
How Hong Kong’s anti-extradition protesters besieged city’s legislature,Tens of thousands of masked protesters equipped with umbrellas and goggles brought the roads leading to Hong Kong's legislature to a standstill on June 12. How did they do it?
Best dog breeds for Hong Kong flats,
The great Hong Kong Christmas escape of 1941,
Pokemon Go: where to catch 'em all in Hong Kong,An interactive guide to all the points that Pokémon Go already have in Hong Kong including PokeStops and Gyms.
MAP: Hong Kong - a Michelin Star-spangled foodie heaven,
Interactive: Time-lapses of major protest sites in Hong Kong,Explore the rise and flow of Hong Kong's pro-democracy movement in time-lapses of traffic camera footage.
"INFOGRAPHIC: In the wake of MH17, aerial routes between Europe and Hong Kong between July 6 and 18","If you flew between Western Europe and Hong Kong recently, did your aircraft pass over a war zone?"
Multimedia: Edward Snowden in Hong Kong,
On the blight side: Hong Kong's eyesores,"For all its status as a tourist hotspot and modern marvel, Hong Kong does have an ugly side -- if a recent survey on the city's unsightliest features is an indication. From ill-designed buildings to ghastly pink tiles, these are just some so-called pockmarks on an otherwise impressive landscape."
Map: Hong Kong's publicly accessible toilets,Where is the nearest WC when you need it? We made a map using data provided through the makers of the 
"INFOGRAPHIC: Here comes the rain again, Hong Kong's rainfall patterns since 1997",This is a visualisation of the rainfall in Hong Kong. How does recent rainfall compare with the Observatory's recorded history?
Deconstructing the 2014-15 Hong Kong Budget,Digging into the numbers of the budget and what they represent in real-life Hong Kong.
In the long run: Visualising the Hong Kong Marathon results,"This year's Standard Chartered Hong Kong Marathon was won on Sunday morning by Ethiopians Gemeda Feyera and Rehima Kedir. We trace the milestones of the challenge race, the toughest among the event's tilts, from the firing gun to the last second."
What were the targets of U.S. bombs in Hong Kong during World War Two?,Hong Kong during World War Two through U.S. armed forces maps
"The 2,000 pound AN-M66 US wartime bomb dropped on Hong Kong",
Under the sea: How shrinking ice will change Hong Kong's shorelines,
Once upon a time in Hong Kong: 110 years of South China Morning Post,
21HK: What's in Hong Kong's water?,"In a two-part special report, the South China Morning Post examines the challenges of keeping Hong Kong's water supply flowing and clean."
"Trade war, Hong Kong protests forecast to hit global retail sales growth in 2020, report shows",Global sales growth by volume will decelerate to 2.2 per cent next year with the US-China trade war and increased online competition heaping pressure on the sector.
Hong Kong protests and US trade war no longer China’s top priorities as spiralling pork prices dominate agenda,Vice-Premier Hu Chunhua heading Beijing’s efforts with latest data showing pork prices rose 46.7 per cent in August compared to a year earlier.
Is China trying to replace Hong Kong with Shenzhen?,"With support from the former British colony, Shenzhen has grown from a sleepy fishing village to a centre for hi-tech, but can it really overtake its world-famous neighbour?"
"China’s response to Facebook’s Libra could be ‘Hong Kong style’ cryptocurrency, says ex-central bank governor",Speech by former People’s Bank of China governor Zhou Xiaochuan shows that China is rethinking its digital currency strategy and could involve commercial entities.
"Shenzhen takes economic top spot – again – but Hong Kong is more liveable, study finds",Chinese think tank puts the southern mainland city ahead of its neighbour on its competitiveness list for a fifth straight year.
China’s middle class still seeking protection in Hong Kong’s insurance market despite forex crackdown,Premiums collected from mainland Chinese visitors made up 30 per cent of Hong Kong’s annual total for personal insurance in 2018.
Hong Kong diplomats visit China’s Greater Bay Area as Pearl River Delta seeks new image,"The trip, organised and financed by the Chinese government, came at a time when the Pearl River Delta is stepping its process of transforming."
"Hong Kong needs to keep an eye on US-China trade war yuan currency deal, analysts say",The United States have demanded China maintains the stability of the yuan as part of ongoing negotiations to end the trade war.
"China, US will ‘come up with something’ to defuse trade war, Hong Kong scholar predicts",Vice-ministerial level delegation from the United States in Beijing for two days of face-to-face talks on Monday and Tuesday.
"The good times are over for Hong Kong’s bankers as their bonuses are crushed by protests, trade war",The city’s stockbrokers are likely to see their bonuses dwindle to zero or a month’s salary after stock market turnover plunged amid civil unrest
Hong Kong investors pick up St Andrews resort hotel in sign of growing appetite for Scottish properties,"Hong Kong-based investors have been quietly buying up properties in Scotland, channelling their capital away from home amid months of anti-government protests. A luxury hotel at St Andrews is the latest addition."
"Hong Kong millennials want to retire earlier on lower savings, but their maths may fail, JPMorgan survey shows","Hong Kong millennials are planning to retire earlier with lower savings compared with targets set by older folks, according to the results from a survey by JPMorgan Asset Management during the city’s worst economic crisis in a decade. But their maths may fail."
"Hong Kong, China stock markets soar after reports of Trump signing off trade deal",Benchmark Hang Seng Index caps its best week in almost six months after reports President Trump has signed off on a ‘phase one’ deal with Beijing
Hong Kong market gains as Xiaomi records rare rebound on new 5G phone,"Hong Kong stocks advanced on Wednesday as traders piled into technology shares, while China markets ended mixed ahead of a key US tariff deadline."
"Hong Kong market dips while China stocks eke out small gains, as investors remain in ‘observation mode’","Hong Kong stocks dipped while China-listed shares edged up, amid another day of cautious trading on Tuesday."
"Hong Kong, China stocks see-saw as trade deal uncertainties cloud market outlook","Hong Kong and China stocks swung between gains and losses before ending little changed on Monday, as traders remained cautious amid uncertainties surrounding an initial trade deal between the United States and China."
"Hong Kong, China stocks extend gains on growing sentiment Washington and Beijing will strike an interim trade deal","Despite Beijing’s anger about US bills supporting Hong Kong protesters and Uygur Muslims, investors are betting it wants to strike a deal with the US over trade tariffs amid an economic slowdown."
"Uncertainty caused by Hong Kong Human Rights and Democracy Act likely to dent surging Chinese demand for New York property, say agents","The legislation passed in Washington, which has angered Beijing, adds to the perception that the US does not welcome investment from China"
"Hong Kong, China stocks get boost from upbeat mainland manufacturing data",Concern about whether even a partial trade deal can be worked out between the world’s two largest economies was offset by economic data showing manufacturing expanded in November.
"Macau casino revenues take a hit from Hong Kong protests and US-China trade war, slip 8.5 per cent in November",President Xi Jinping’s visit to Macau this month for the 20th anniversary of its handover from Portugal is likely to squeeze revenues further as tightened visa policies deter visitors
"Hong Kong, China stocks tumble on heightened Sino-US tension and rout in market darlings","The markets were probably reassessing the repercussions of US President Donald Trump signing legislation supporting the anti-government protesters in the former British colony, said KGI Securities."
Steep learning curve for Hong Kong millennials who expect their family wealth to do more than just make money,"Hong Kong’s rich millennials are making inroads as they push for their family fortunes to be invested in ways that generate not only returns, but also a positive social and environmental impact."
"Hong Kong King Wai buys Portuguese digital bank BNI Europa, tapping opportunity as Hongkongers seek overseas residency amid political crisis",Hong Kong King Wai Group is motivated by Beijing’s push to forge closer business ties with Portuguese-speaking economies and Hongkongers seeking sanctuary abroad through property deals
"Hong Kong, mainland Chinese companies more willing to disclose climate change risks, non-profit says","Hong Kong and mainland Chinese companies have become more forthcoming when it comes to disclosures about their exposure to climate change risks, said London-based non-profit organisation CDP Worldwide."
Chinese furniture maker Kasen plunges 90 per cent in Hong Kong trading after critical report by short-seller,Shares of Chinese furniture and leather products maker Kasen International Holdings lost 90 per cent of their market value after US short-seller Blue Orca Capital said it had disposed of assets at bargain prices and fabricated investment projects in Cambodia.
Tencent-backed Yeahka to seek US$300 million in Hong Kong IPO,"The Chinese payment technology services provider aims to seek a listing hearing as soon as February after it filed an application with the city’s bourse on November 12, sources said."
Alibaba’s coming Hong Kong listing sends Hang Seng to biggest percentage gain in two weeks,Alibaba’s secondary listing could raise up to US$13.86 billion and is expected to catapult Hong Kong back to the top global IPO capital ranking.
"Stock Connect: 5 years on, how did linking the mainland-Hong Kong exchanges become a success after launching during Occupy Central?","The Stock Connect is heralded as a great success, giving mainland Chinese investors access to such home-grown stars as Tencent and offshore investors the ability to buy such high fliers as liquor giant Kweichow Moutai."
‘Taobao Queen’ leads the charge as Hong Kong fans of e-commerce platform get ready to spend big on Alibaba’s secondary listing,"Cherry Lai, known as the ‘Taobao Queen’ among friends and family, plans to spend a six-digit figure on Alibaba shares, once its retail offering in Hong Kong starts Friday."
Alibaba sets retail price for Hong Kong-listed shares after overwhelming response for global tranche of US$13.9 billion secondary listing,"The listing plan will give a major boost for the city gripped by more than five months of anti-government protests and a simmering US-China trade war, pushing the local stock exchange on a home run for global IPO crown this year in competition with the New York Stock Exchange and Nasdaq."
Hong Kong’s stocks set for steepest weekly loss in three months as protests persist and Tencent’s earnings trail estimates,"The Hang Seng has fallen 4.8 per cent so far this week, putting it on track for the biggest loss for a five-day period since August, as the civic upheaval shows no sign of ending."
Demand for Greater Bay Area homes set to rise with easier ownership rules for Hong Kong professional workers,"A proposal to ease home ownership restrictions in Greater Bay Area for Hong Kong residents may spur demand for properties as more professional workers relocate from the overcrowded financial centre, according to consultants."
"Hong Kong and China stocks have relief rebounds as traders wait for key economic data, shrug off latest protest clashes","Tencent Holdings, the Chinese internet giant, gained 2.2 per cent to HK$330.20, snapping a three-day losing streak. It reports third-quarter earnings on Wednesday."
UBS fined US$51 million by Hong Kong regulator for systematically overcharging bond clients for nearly 10 years,"UBS agrees to compensate 5,000 clients HK$200 million for systematically overcharging them over many years."
Sino Biopharmaceutical added to Hong Kong index of Chinese stocks amid Beijing’s biotechnology push,"An index that tracks shares of mainland Chinese companies on the Hong Kong stock exchange will admit a pharmaceutical stock and a utility. The companies replace a railway company and a building materials producer, partly reflecting the changing profile of China’s economy."
"Hong Kong sets out regulatory framework for virtual asset trading platforms, emphasises investor protection","Hong Kong’s Securities and Futures Commission has issued a new regulatory framework for granting licences to centralised virtual asset trading platforms, with a strong emphasis on protection for investors and their virtual assets."
"Stocks Blog: CK Life Sciences shoots up, HKEX rises on better-than-expected Q3 net profit drop ", CK Life Sciences soared on its reported advance in a melanoma vaccine in an ongoing clinical trial. HKEX reports a 10 per cent decline in its Q3 net profit.
More Hong Kong investors are eyeing Spanish property as gateway to permanent residency in EU,"Hong Kong buyers are discovering the investment opportunities Spain’s property market has to offer, as well as the route it provides to permanent residency in the European Union."
"Banks in Hong Kong, mainland China must buck up or lose US$61 billion in revenue to e-payment providers, Accenture says","Banks will be required to change their business models and focus on providing more value-added services to capture the growth in payments revenue, Accenture said."
"Stocks Blog: Hang Seng breaks two-day losing streak, with banks and property stocks rising on rate cuts",
Two more companies set to raise up to US$250 million as Hong Kong marches ahead in retaining IPO crown,"SinoMab BioScience, a home-grown Hong Kong biopharma company, is aiming to raise up to HK$1.75 billion, while rotary kilns supplier China PengFei Group is seeking to raise up to HK$197.5 million."
"Malaysia wants wealthy Hong Kong, mainland China investors to absorb US$8.9 billion residential property market oversupply","Malaysia is seeking to avert a housing market crisis by luring foreign buyers to its rising stock of unsold homes, targeting wealthy Chinese and Hong Kong residents with fast-track residency visas."
"UK office buildings emerge as good investment opportunities for Hong Kong investors amid anti-government protests, Brexit chaos","Office buildings in the UK have emerged as sound investment options amid the Brexit chaos for Hong Kong investors who, driven by the anti-government protests at home, are increasingly eyeing opportunities abroad, according to Ship Street Advisors."
"Hong Kong’s market regulator to come down hard on misconduct, steps up oversight of underwriters","Misconduct can severely undermine investor confidence in the integrity and transparency of the markets, says Julia Leung, deputy CEO of Securities and Futures Commission."
Thai-Hong Kong ties reinforced by solid business relationships,The HKTDC’s efforts to cultivate closer relationships between the trading partners extend to new sectors of the economy
Hong Kong’s top securities regulator Ashley Alder to leave next September,"Ashley Alder, who has been the CEO of Securities and Futures Commission since October 2011, will not renew his contract, says a spokesman for the regulator."
"Hong Kong’s smaller companies are not ready to face cybersecurity threats, warns Chubb Insurance","More than 75 per cent of Hong Kong small- and medium-sized firms fell victim to cyberattacks last year, according to Chubb Insurance"
"Deal making, IPOs set to slump in China and Hong Kong as trade war, civil unrest rage, says Baker McKenzie report","China’s inbound and domestic mergers and acquisitions are likely to fall by 18 per cent to US$248 billion in 2019, Baker McKenzie forecasts."
"Hong Kong Bond Connect scheme could play crucial role in getting China’s onshore bonds into global indices, say analysts","Market liquidity, forex issues – cited by FTSE Russell when it left China out of its world bond index – could be improved by Bond Connect, traders say"
"Hong Kong’s start-up scene is still a man’s world even if city tops the global ranks for gender diversity, women investors say","This could be why female entrepreneurs in Hong Kong invest more of their own funds into businesses than other markets, using HK$1.2 million on average, less than in mainland China, but more than those in the US and the UK, HSBC said."
"LSE investors call on Hong Kong Exchanges and Clearing to increase bid by 20 per cent, add cash","Some London Stock Exchange investors have told Hong Kong Exchanges and Clearing (HKEX) that any bid must contain more cash and be up to 20 per cent higher to persuade them to engage, three shareholders and a banking source close to the deal said."
Hong Kong-listed mainland Chinese companies seen most at risk if US imposes curbs on capital flows into China,"While the risk of Washington imposing curbs on US capital flows into Chinese equities remains remote, Societe Generale estimates that 10 stocks in Hong Kong could be exposed the most."
Thailand and Hong Kong join hands to boost regional business connectivity,
"Hong Kong might yet shrug off 63 per cent third-quarter decline in IPOs to regain crown of top market globally this year, analysts say","Hong Kong, the world’s largest market for initial public offerings six times over the past decade, might still reclaim its crown from New York this year, analysts said."
Hong Kong set to lead green building and flood-risk initiatives in Greater Bay Area as protests cast doubt over role,"Collaboration on both fronts will be spearheaded by organisations based in the city, according to the Hong Kong Green Finance Association"
New trade options loom as Thai-Hong Kong partnership grows,Long-term efforts and top-level meetings are paying off in opportunities for Hong Kong businesses
Mystery Hong Kong buyer completes US$13.4 million Corinthia Hotel London penthouse deal in just 72 hours,"The multimillionaire buyer and his wife visit London and the Corinthia Hotel is their favourite hotel in the city, according to their agent Aston Chase."
"Hong Kong-China ‘insurance connect’ plan on hold as trade war, protests hit business environment",The Insurance Authority had been in talks with its mainland counterparts to establish a channel modelled on the stock connect schemes
"Hong Kong tycoon Richard Li takes out newspaper ads in support of ‘one country, two systems’ principle, calls for end to protests","Richard Li Tzar-kai, the Hong Kong telecoms tycoon and younger son of Li Ka-shing, the city’s richest man, backed the “one country, two systems” principle in full-page adverts in seven newspapers on Thursday."
"Chips are down for Macau casinos amid Hong Kong protests, slowdown in mainland Chinese economy","The immediate outlook for Macau’s casino sector looks grim, after gross gaming revenue fell 8.6 per cent in August – its biggest monthly drop since June 2016 – from US$3.3 billion in August 2018 to US$3 billion, according to the Macau Gaming Inspection and Coordination Bureau."
‘Greater Bay Area’ reit files documentation for US$800 million Hong Kong IPO,China Merchants Shekou Industrial Zone Holdings said in an exchange filing on Monday night that it was launching a share offering of its real estate investment trust on the Hong Kong stock exchange’s main board.
‘Cunning but not so smart’: Trump targeted by Hong Kong-listed Chinese developer,"A Chinese property developer used its interim result to condemn US President Donald Trump on Friday, even as it praised Chinese leader Mao Zedong."
"Stocks Blog: Oil firms, banks save Hong Kong from losses; Chinese stocks finish lower ","Energy giants PetroChina, CNOOC jump in Hong Kong after oil price gains"
"Deloitte China acquires Hong Kong architecture firm WCWP in nod to expansion in real estate, infrastructure advisory services","Deloitte China has acquired Hong Kong architecture firm WCWP International Limited for an undisclosed amount, in a deal described by an insider as “niche”, but one that points to a future where consultancy firms offer in-house real-estate advisory services as well."
Weak earnings led by Xiaomi keep gains in check in Hong Kong as investors await trade war developments,"Cathay Pacific, which last week found itself caught up in protest fallout, closed down 2.25 per cent, as it tries to get beyond controversy that damaged its brand with all-important Chinese travellers and led to the ouster of its CEO, Rupert Hogg."
"Hong Kong, China markets struggle for direction as four-day winning run ends","Investors watch from cautiously from the sidelines amid a lack of progress in the US-China trade war, while eagerly anticipating the release of the minutes of Federal Reserve’s July policy meeting."
"Hong Kong, China investors hold fire over Vancouver commercial property, but prices unlikely to crash, analysts say","Foreign investors, including those from Hong Kong and mainland Chinese, largely stayed out of commercial real estate in Vancouver, Canada’s second-largest investment market, in the first half of 2019 amid sinking home prices in the city."
Hong Kong’s protest rallies force Thai developer to defer sales launch of ultra luxury apartments in Bangkok,"The postponement shows how Hong Kong’s worst political crisis, sparked by popular protest against a controversial extradition bill, is widening in its business impact and hitting the city’s economy hard."
"Hong Kong, China markets gain most in about two months as trade progress, Shenzhen plan boost sentiment","Moves by Beijing to bolster Shenzhen’s credibility, efforts to lower interest rates and Trump’s comment on trade war talks help to lift the mood."
Ping An’s Hong Kong virtual bank to showcase tech prowess as it harbours ambition to go global,Ping An will test initially test its technology on its own virtual bank platform before offering it to other lenders for a fee.
"Cathay Pacific, Hong Kong property and telecom stocks shoot up despite overall sense of caution in markets",A cautious feeling dominates Hong Kong and mainland markets. But some investors were brave – and turned into big winners.
Bitter unrest in Hong Kong prompts city’s ultra rich to look into relocating their families to the US,New York agent who handles investments beginning at US$10 million says he is receiving an unusually high volume of requests from Hong Kong’s super rich about helping them relocate to America.
"Hong Kong’s financial watchdog reports quarterly loss amid slump in trading turnover, damper on levy income","Securities and Futures Commission reports quarterly loss for April through June of HK$52.69 million (US$6.63 million), amid shrinking market turnover."
"Hong Kong, mainland Chinese investors tap bullion rally, lift gold exchange-traded funds’ assets to six-year high","Exchange-traded funds backed by physical gold have outperformed others tracking equities or fixed income indices, bolstered by a surge in inflow from investors looking to profit from a recent rally in the safe-haven asset to a six-year high through such passive funds."
Boris Johnson’s brother in Hong Kong backs Brexit strategy as he plans UK hotel fund targeting Asian investors,"Max Johnson, 34, who is planning to launch a UK-focused hotel fund targeting Asian high net worth individuals and pension funds, says investors must make use of the sterling’s weakness to snap up assets in Britain."
"Hong Kong electricity provider CLP eyes China power distribution market, India’s renewables, says CEO","CLP reported a net loss of HK$907 million (US$116 million) for the first half, on the back of a HK$6.38 billion impairment on its Australian retail business"
What to expect as launch of Hong Kong virtual banks nears,"Virtual banking in countries such as the United Kingdom, Japan and mainland China could help draw a picture of the sector in Hong Kong, where these lenders are expected to launch operations in the fourth quarter."
Hong Kong’s biggest corporate chieftains are better off than shareholders as median executive pay outstrips stock performance,"The outsize reward packages, comprising basic pay, bonuses, stock options and incentive plans, underscore the top dollar that companies have to pay to retain their top talent."
"China, Hong Kong shares eke out small gains as investors await news on trade talks and Fed interest rate decision",Fitch Ratings maintained Hong Kong’s “AA+” rating but expressed concern about the potential damage of long-term protests on the reputation of the city.
"Hong Kong’s New World Development takes advantage of Hangzhou land price curbs, wins plot for 9.8 billion yuan","Hangzhou in China’s eastern Zhejiang province is selling land for as little as only 4 per cent above starting bids, as it works to keep prices down and cool its housing market."
"Digital Domain, Hong Kong-based visual effects studio behind Avengers and Titanic is betting on future of 5G, virtual reality","Hong Kong-listed Digital Domain, which designed Thanos for Avengers: Infinity War and Avengers: Endgame, is investing in virtual reality, interactive technology"
"Hong Kong shares suffer worst weekly loss in two months amid ongoing protests, Fed rate speculation","‘The next 60 days will be critical’ to Hong Kong’s future as the city faces ‘an unprecedented political crisis’, Daiwa Capital Markets’ chief economist Kevin Lai wrote in a report."
"Optimism on US-China trade talks gives boost to Hong Kong, mainland shares; STAR tech shares shoot back up","All of the 25 stocks listed on Shanghai’s technology innovation board, also known as the STAR Market, closed higher on the third day of trading, rebounding from sharp losses on Tuesday."
"Sino-Ocean to launch a new fund targeting mainland logistics, warehousing","China has a shortage of high-quality warehousing facilities, especially in areas surrounding first-tier cities, according to Sino-Ocean."
Hong Kong developer Nan Fung launches arthritis and cancer biosimilars joint venture with Korean biopharmaceutical firm,Hong Kong-based property developer Nan Fung deepened its diversification into health care with the announcement on Friday of a joint venture that will produce and sell in mainland China biosimilar versions of medicines used to treat arthritis and cancers.
Cyberport has a plan to make Hong Kong a regional leader in e-sports,Cyberport’s HK$50 million (US$6.4 million) e-sports arena can seat 400 people.
Global fund managers expanding in Hong Kong with eye on Greater Bay Area and Belt and Road Initiative,US-based Federated Investors and its partially owned UK fund manager Hermes Investment Management both plan to expand in Hong Kong as part of their long-term Asia strategy.
Hong Kong says China pork supply may not recover quickly,"It could be as long as a decade before China recovers from its outbreak of the deadly pig disease that is decimating hog herds, according to Cargill."
"Anheuser-Busch scraps its US$9.8 billion IPO for Budweiser in Hong Kong, scuppering world’s largest fundraising plan of 2019","The cancelled IPO, a month after ESR Cayman Limited scrapped its plan to raise up to US$1.24 billion, is a set back for Hong Kong’s race to catch up with New York as the world’s fundraising hub."
"Hong Kong, China stocks advance as clearer Federal Reserve signal of lower interest rate buoys investors’ sentiments","Still, some investors remained wary of China’s economic data, which shows the world’s second-largest economy is still struggling to find its footing amid the slowest growth pace in more than three decades."
"Tencent, health care boost Hong Kong shares, while Chinese shares fall on swirling uncertainties","“Overall, investors are sidelined and watchful,” said Francis Lun, chief executive of Geo Securities. They are awaiting news out of the US about interest rates."
"China, Hong Kong high-net-worth individuals led US$2 trillion decline in global wealth last year, Capgemini says","High-net-worth individuals in Asia-Pacific accounted for about half of a US$2 trillion drop in global wealth last year, according to consultancy Capgemini. China accounted for about 25 per cent of the decline."
AllianzGI launches Hong Kong hackathon; nine global start-ups will pitch their AI strategies to fund management executives,Nine teams will present how their AI strategies can facilitate fund management during three-day Cyberport event
Hong Kong shares rise for a fifth straight week but investors tread with caution,Property stocks in Hong Kong have a stellar week as investors bet on a Federal reserve rate cut.
"‘Key man risk’ is still rife in Chinese companies, as shown by the US$4.2 billion wipeout in value of Future Land after founder’s arrest in Shanghai","Latest scandal involving Wang Zhenhua, the controlling shareholder of Future Land, shows how investors end up paying a heavy price for the mistakes of executives synonymous with their companies."
Hong Kong’s cancer DNA tests industry gets a boost as Taiwanese provider ACT Genomics opens lab,Taiwan-based ACT Genomics opens a HK$20 million laboratory at the Science Park in Sha Tin to process cancer patients’ samples
"Hong Kong’s MPF wipes out last year’s losses with strong first-half gains thanks to stocks rally, easing of trade war","Hong Kong’s compulsory pension scheme returned 8.4 per cent in the first half, recovering last year’s 8.2 per cent losses"
"Hong Kong rates climb to 2008 highs, dollar jumps before jumbo IPO",The one-month and two week tenors climbed to their highest since October 2008
"Not enough Hong Kong-listed companies are conducting due diligence before deals, accounting firm Grant Thornton says","Only 41 per cent of business transactions disclosed by Hong Kong-listed companies last year included detailed investigations into the assets and operations being traded, accounting and audit firm Grant Thornton said on Wednesday."
Hong Kong bans former Goldman partner Tim Leissner for life for role in 1MDB scandal,Hong Kong’s Securities and Futures Commission said on Wednesday it was banning former Goldman Sachs (Asia) partner Tim Leissner from working as a securities and financial adviser in the city for life.
"First-half M&As by Hong Kong-listed companies shrink to six-year low as trade war, weaker yuan deterred dealmaking","Caught in the year-long trade war between the world’s two largest economies, Hong Kong’s businesses are struggling to regain their paces, many considering plans to shift their production facilities in mainland China to elsewhere in Southeast Asia to skirt US tariffs on Chinese products."
What Vitasoy’s epic fall can teach investors about Hong Kong’s red hot consumer stocks,Cyrus Tai of Orient Securities likes instant noodle and drink maker Uni-President China and baked goods producer Dali Foods Group.
Richard Li’s FWD acquires insurer MetLife’s Hong Kong business,"FWD Group, the insurance arm of Hong Kong tycoon Richard Li Tzar-kai's Pacific Century Group, has agreed to acquire MetLife Hong Kong’s business, it said on Friday."
"AngelHub, Hong Kong’s first equity crowdfunding platform, shortlists five start-ups for fundraising","AngelHub, Hong Kong’s first equity crowdfunding platform, has selected five start-ups out of 250 candidates to raise funds just two months after it was licensed by the city’s Securities and Futures Commission."
"China, Hong Kong markets boosted by upbeat sentiment that Xi-Trump trade discussions will deliver positive results","Kweichow Moutai, a popular baijiu maker, shot above 1,000 yuan per share in intraday trading, making it the first Chinese stock to achieve that milestone."
Taiwan halts US$32.2 million investment by Hong Kong firm with ‘extreme deep connections’ to Beijing on security grounds,"A part of the largest property development project in Taipei has been halted, after Taiwan’s ministry of economic affairs blocked a key investor citing national security concerns."
"Hong Kong’s retail sales will drop 5 per cent this year amid fall in numbers of mainland Chinese tourists, says PwC",The accounting giant’s estimate of a 5 per cent fall in retail sales is a downgrade from its earlier forecast of a 3 per cent drop.
"Defensive health care plays help Hong Kong, Shanghai stock markets ahead of high-stakes Xi-Trump trade meeting","After markets closed here, US Treasury Secretary Steven Mnuchin said of a possible trade deal ‘I think there’s a path to complete this’. Earlier, traders looked for safe havens like health care stocks."
Richard Li’s FWD is in talks to buy MetLife’s Hong Kong insurance unit to expand through acquisition,"Richard Li’s FWD is in talks to buy MetLife’s Hong Kong insurance unit, the latest in a string of acquisitions."
"Hong Kong, Shanghai indexes end higher for sixth straight day","Property stocks were among gainers in Hong Kong, bolstered by expectations for an interest-rate cut next month from the US Federal Reserve"
"In Hong Kong, search for ‘cyber theft’ insurance stumps aspiring cryptocurrency exchanges","For cryptocurrency exchanges and custodians, complying with Hong Kong’s new rule on insurance is a costly challenge."
"Hong Kong, China stocks end higher as political tensions over extradition bill subside","Investors “are waiting for clearer skies,” said Louis Tse Ming-kwong, managing director of VC Asset Management. “It’s a ‘wait and see’ game.”"
Hong Kong to become a hub for catastrophe bonds as Greater Bay Area takes shape,Cross-border reinsurance business seen as growth market for Hong Kong
